"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NOG","Northern Oil and Gas, Inc.","11.15","680461765.15","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"NTI","Northern Tier Energy LP","24.61","2281707315.01","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/nti",
"DNOW","NOW Inc.","29.09","3114308434.82","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/dnow",
"NS","Nustar Energy L.P.","65.02","5064152791.56","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/ns",
"NSH","Nustar GP Holdings, LLC","42.04","1795427798.28","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/nsh",
"NSS","NuStar Logistics, L.P.","26.64","0","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/nss",
"NES","Nuverra Environmental Solutions, Inc.","9.61","256886168.91","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/nes",
"OAS","Oasis Petroleum Inc.","30.93","3128691859.08","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oas",
"OXY","Occidental Petroleum Corporation","91.01","70953970672.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/oxy",
"ORIG","Ocean Rig UDW Inc.","14.02","1850880835.56","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/orig",
"OII","Oceaneering International, Inc.","65.5","7074624084","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/oii",
"OIS","Oil States International, Inc.","60.04","3247012612.92","n/a","2001","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/ois",
